ingestion_time_utc,mapped_airline,live_flights,avg_velocity,avg_altitude,on_ground_count,airborne_count,prev_live_flights,count_change,target_anomaly,total_route_flights,distinct_departure_hubs,has_aviationstack_context,airborne_ratio,on_ground_ratio
2026-03-27T17:59:21.582426+00:00,ANA,15,213.94,9472.17,0,15,15.0,0.0,0,27.0,6.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Air France,67,179.38,8213.73,8,59,67.0,0.0,0,41.0,8.0,1,0.8805970149253731,0.11940298507462686
2026-03-27T17:59:21.582426+00:00,Air India,55,157.53,6883.78,8,47,55.0,0.0,0,40.0,6.0,1,0.8545454545454545,0.14545454545454545
2026-03-27T17:59:21.582426+00:00,American Airlines,545,193.42,8906.38,54,491,545.0,0.0,0,35.0,7.0,1,0.9009174311926605,0.09908256880733946
2026-03-27T17:59:21.582426+00:00,British Airways,70,194.8,8243.16,2,68,70.0,0.0,0,22.0,9.0,1,0.9714285714285714,0.02857142857142857
2026-03-27T17:59:21.582426+00:00,Cathay Pacific,115,101.26,3904.73,6,109,115.0,0.0,0,20.0,5.0,1,0.9478260869565217,0.05217391304347826
2026-03-27T17:59:21.582426+00:00,Delta Air Lines,496,195.96,8515.57,38,458,496.0,0.0,0,63.0,6.0,1,0.9233870967741935,0.07661290322580645
2026-03-27T17:59:21.582426+00:00,Emirates,32,252.18,10272.95,0,32,32.0,0.0,0,36.0,8.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Etihad Airways,9,248.75,11010.05,0,9,9.0,0.0,0,19.0,7.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,IndiGo,70,159.72,7067.11,10,60,70.0,0.0,0,62.0,9.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,Japan Airlines,12,231.13,9714.23,0,12,12.0,0.0,0,23.0,8.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,KLM,80,192.54,8556.36,4,76,80.0,0.0,0,52.0,6.0,1,0.95,0.05
2026-03-27T17:59:21.582426+00:00,Lufthansa,88,176.55,7468.09,11,77,88.0,0.0,0,34.0,6.0,1,0.875,0.125
2026-03-27T17:59:21.582426+00:00,Qantas,8,230.49,10322.24,0,8,8.0,0.0,0,23.0,8.0,1,1.0,0.0
2026-03-27T17:59:21.582426+00:00,Qatar Airways,14,216.84,10393.09,1,13,14.0,0.0,0,14.0,4.0,1,0.9285714285714286,0.07142857142857142
2026-03-27T17:59:21.582426+00:00,Singapore Airlines,13,226.37,9748.52,1,12,13.0,0.0,0,23.0,7.0,1,0.9230769230769231,0.07692307692307693
2026-03-27T17:59:21.582426+00:00,SpiceJet,14,136.57,6237.61,2,12,14.0,0.0,0,4.0,2.0,1,0.8571428571428571,0.14285714285714285
2026-03-27T17:59:21.582426+00:00,Thai Airways,25,140.96,6778.68,4,21,25.0,0.0,0,0.0,0.0,0,0.84,0.16
