source_hub,flight_date,flight_status,departure_airport,departure_iata,departure_icao,departure_delay,departure_scheduled,departure_actual,arrival_airport,arrival_iata,arrival_icao,arrival_delay,arrival_scheduled,arrival_actual,airline_name,airline_iata,airline_icao,flight_number,flight_iata,flight_icao
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:55:00+00:00,2026-04-05T21:11:00+00:00,Don Muang,DMK,VTBD,,2026-04-06T02:40:00+00:00,,AirAsia X,D7,XAX,231,D7231,XAX231
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:45:00+00:00,2026-04-05T20:53:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:00:00+00:00,,Virgin Atlantic,VS,VIR,8733,VS8733,VIR8733
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:45:00+00:00,2026-04-05T20:53:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:00:00+00:00,,Turkish Airlines,TK,THY,7835,TK7835,THY7835
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:45:00+00:00,2026-04-05T20:53:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:00:00+00:00,,Japan Airlines,JL,JTL,9071,JL9071,JTL9071
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:45:00+00:00,2026-04-05T20:53:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:00:00+00:00,,Air France,AF,AFR,3352,AF3352,AFR3352
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:10:00+00:00,2026-04-05T20:15:00+00:00,Thiruvananthapuram International,TRV,VOTV,,2026-04-05T23:30:00+00:00,,Virgin Atlantic,VS,VIR,8966,VS8966,VIR8966
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:10:00+00:00,2026-04-05T20:15:00+00:00,Thiruvananthapuram International,TRV,VOTV,,2026-04-05T23:30:00+00:00,,Japan Airlines,JL,JTL,9298,JL9298,JTL9298
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:00:00+00:00,2026-04-05T20:04:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T22:10:00+00:00,,Virgin Atlantic,VS,VIR,8735,VS8735,VIR8735
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:00:00+00:00,2026-04-05T20:04:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T22:10:00+00:00,,Japan Airlines,JL,JTL,9072,JL9072,JTL9072
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T21:45:00+00:00,2026-04-05T21:53:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-06T00:05:00+00:00,,IndiGo,6E,IGO,395,6E395,IGO395
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T21:30:00+00:00,2026-04-05T21:44:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:55:00+00:00,,Air India,AI,AIC,2433,AI2433,AIC2433
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T21:00:00+00:00,2026-04-05T21:16:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:20:00+00:00,,Air India,AI,AIC,2981,AI2981,AIC2981
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T21:00:00+00:00,2026-04-05T21:16:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:20:00+00:00,,Lufthansa,LH,DLH,5529,LH5529,DLH5529
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:45:00+00:00,2026-04-05T20:53:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:00:00+00:00,,IndiGo,6E,IGO,853,6E853,IGO853
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:30:00+00:00,2026-04-05T20:40:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T23:00:00+00:00,,Air India,AI,AIC,2957,AI2957,AIC2957
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,8.0,2026-04-05T20:10:00+00:00,2026-04-05T20:56:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,8.0,2026-04-05T22:35:00+00:00,,SpiceJet,SG,SEJ,162,SG162,SEJ162
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:10:00+00:00,2026-04-05T20:15:00+00:00,Thiruvananthapuram International,TRV,VOTV,,2026-04-05T23:30:00+00:00,,IndiGo,6E,IGO,772,6E772,IGO772
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T20:00:00+00:00,2026-04-05T20:04:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,,2026-04-05T22:10:00+00:00,,IndiGo,6E,IGO,303,6E303,IGO303
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,10.0,2026-04-05T19:55:00+00:00,2026-04-05T20:39:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,10.0,2026-04-05T22:20:00+00:00,,Akasa Air,QP,AKJ,1826,QP1826,AKJ1826
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,11.0,2026-04-05T18:10:00+00:00,2026-04-05T18:55:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,11.0,2026-04-05T20:30:00+00:00,,Air India Express,IX,AXB,1056,IX1056,AXB1056
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,11.0,2026-04-05T18:10:00+00:00,2026-04-05T18:55:00+00:00,Chhatrapati Shivaji International (Sahar International),BOM,VABB,11.0,2026-04-05T20:30:00+00:00,,Air India,AI,AIC,9486,AI9486,AIC9486
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T12:20:00+00:00,2026-04-05T12:45:00+00:00,Kastrup,CPH,EKCH,,2026-04-05T19:40:00+00:00,,Singapore Airlines,SQ,SIA,4937,SQ4937,SIA4937
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,12.0,2026-04-05T12:15:00+00:00,2026-04-05T12:42:00+00:00,Zurich,ZRH,LSZH,12.0,2026-04-05T19:15:00+00:00,,SWISS,LX,SWR,9851,LX9851,SWR9851
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T13:40:00+00:00,2026-04-05T13:54:00+00:00,Srinagar,SXR,VISR,,2026-04-05T15:10:00+00:00,,Virgin Atlantic,VS,VIR,8959,VS8959,VIR8959
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T14:25:00+00:00,2026-04-05T14:28:00+00:00,Kanpur,KNU,VECX,,2026-04-05T15:35:00+00:00,,IndiGo,6E,IGO,5396,6E5396,IGO5396
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T13:50:00+00:00,2026-04-05T14:30:00+00:00,Dehra Dun,DED,VIDN,,2026-04-05T15:00:00+00:00,,IndiGo,6E,IGO,6454,6E6454,IGO6454
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T13:40:00+00:00,2026-04-05T13:54:00+00:00,Srinagar,SXR,VISR,,2026-04-05T15:10:00+00:00,,IndiGo,6E,IGO,2747,6E2747,IGO2747
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T12:20:00+00:00,2026-04-05T12:45:00+00:00,Kastrup,CPH,EKCH,,2026-04-05T19:40:00+00:00,,Air India,AI,AIC,157,AI157,AIC157
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,12.0,2026-04-05T12:20:00+00:00,2026-04-05T13:17:00+00:00,Leonardo Da Vinci (Fiumicino),FCO,LIRF,12.0,2026-04-05T18:55:00+00:00,,Air India,AI,AIC,123,AI123,AIC123
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,12.0,2026-04-05T12:15:00+00:00,2026-04-05T12:42:00+00:00,Zurich,ZRH,LSZH,12.0,2026-04-05T19:15:00+00:00,,Air India,AI,AIC,151,AI151,AIC151
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T11:50:00+00:00,2026-04-05T12:15:00+00:00,Dabok,UDR,VAUD,,2026-04-05T13:10:00+00:00,,Air India,AI,AIC,1737,AI1737,AIC1737
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,3.0,2026-04-05T11:50:00+00:00,2026-04-05T12:11:00+00:00,Dehra Dun,DED,VIDN,3.0,2026-04-05T12:40:00+00:00,,IndiGo,6E,IGO,2204,6E2204,IGO2204
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T11:45:00+00:00,2026-04-05T12:16:00+00:00,Charles De Gaulle,CDG,LFPG,,2026-04-05T19:20:00+00:00,,Air India,AI,AIC,143,AI143,AIC143
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T10:45:00+00:00,2026-04-05T10:55:00+00:00,Dabok,UDR,VAUD,,2026-04-05T11:55:00+00:00,,Air France,AF,AFR,3343,AF3343,AFR3343
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T11:00:00+00:00,2026-04-05T11:25:00+00:00,Aizawl,AJL,VELP,,2026-04-05T13:40:00+00:00,,IndiGo,6E,IGO,765,6E765,IGO765
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T10:45:00+00:00,2026-04-05T10:55:00+00:00,Dabok,UDR,VAUD,,2026-04-05T11:55:00+00:00,,IndiGo,6E,IGO,6376,6E6376,IGO6376
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T09:00:00+00:00,2026-04-05T09:11:00+00:00,Dr. Babasaheb Ambedkar International,NAG,VANP,,2026-04-05T10:45:00+00:00,,Virgin Atlantic,VS,VIR,8893,VS8893,VIR8893
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,,2026-04-05T09:00:00+00:00,2026-04-05T09:11:00+00:00,Dr. Babasaheb Ambedkar International,NAG,VANP,,2026-04-05T10:45:00+00:00,,Air France,AF,AFR,6478,AF6478,AFR6478
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,3.0,2026-04-05T10:00:00+00:00,2026-04-05T10:26:00+00:00,Bikaner,BKB,VIBK,3.0,2026-04-05T11:25:00+00:00,,IndiGo,6E,IGO,7442,6E7442,IGO7442
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,2.0,2026-04-05T09:00:00+00:00,2026-04-05T09:22:00+00:00,Dehra Dun,DED,VIDN,2.0,2026-04-05T09:50:00+00:00,,Air France,AF,AFR,6079,AF6079,AFR6079
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,6.0,2026-04-05T07:40:00+00:00,2026-04-05T08:00:00+00:00,Bagdogra,IXB,VEBD,6.0,2026-04-05T09:30:00+00:00,,Virgin Atlantic,VS,VIR,8809,VS8809,VIR8809
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,6.0,2026-04-05T07:40:00+00:00,2026-04-05T08:00:00+00:00,Bagdogra,IXB,VEBD,6.0,2026-04-05T09:30:00+00:00,,British Airways,BA,BAW,8281,BA8281,BAW8281
DEL,2026-04-05,active,Indira Gandhi International,DEL,VIDP,13.0,2026-04-05T09:30:00+00:00,2026-04-05T10:14:00+00:00,Khwaja Rawash,KBL,OAKB,13.0,2026-04-05T10:30:00+00:00,,Kam Air,RQ,KMF,4406,RQ4406,KMF4406
