mapped_airline,live_flights,avg_velocity,avg_altitude,airline_name,departure_iata,route_flights
ANA,15,213.94066666666666,9472.168,ANA,BKK,1.0
ANA,15,213.94066666666666,9472.168,ANA,FRA,1.0
ANA,15,213.94066666666666,9472.168,ANA,JFK,2.0
ANA,15,213.94066666666666,9472.168,ANA,LAX,1.0
ANA,15,213.94066666666666,9472.168,ANA,ORD,19.0
ANA,15,213.94066666666666,9472.168,ANA,SIN,3.0
Air France,67,179.37626865671643,8213.725,Air France,AMS,14.0
Air France,67,179.37626865671643,8213.725,Air France,BKK,1.0
Air France,67,179.37626865671643,8213.725,Air France,BOM,1.0
Air France,67,179.37626865671643,8213.725,Air France,CDG,14.0
Air France,67,179.37626865671643,8213.725,Air France,DEL,5.0
Air France,67,179.37626865671643,8213.725,Air France,FRA,1.0
Air France,67,179.37626865671643,8213.725,Air France,LHR,1.0
Air France,67,179.37626865671643,8213.725,Air France,SIN,4.0
Air India,55,157.5281818181818,6883.778297872341,Air India,BKK,1.0
Air India,55,157.5281818181818,6883.778297872341,Air India,BOM,14.0
Air India,55,157.5281818181818,6883.778297872341,Air India,CDG,1.0
Air India,55,157.5281818181818,6883.778297872341,Air India,DEL,18.0
Air India,55,157.5281818181818,6883.778297872341,Air India,FRA,1.0
Air India,55,157.5281818181818,6883.778297872341,Air India,SIN,5.0
American Airlines,545,193.42370642201834,8906.383258655804,American Airlines,AMS,1.0
American Airlines,545,193.42370642201834,8906.383258655804,American Airlines,CDG,1.0
American Airlines,545,193.42370642201834,8906.383258655804,American Airlines,JFK,5.0
American Airlines,545,193.42370642201834,8906.383258655804,American Airlines,LAX,10.0
American Airlines,545,193.42370642201834,8906.383258655804,American Airlines,LHR,14.0
American Airlines,545,193.42370642201834,8906.383258655804,American Airlines,ORD,1.0
American Airlines,545,193.42370642201834,8906.383258655804,American Airlines,SYD,3.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,AMS,1.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,BOM,4.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,DEL,4.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,HKG,1.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,JFK,2.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,LHR,4.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,ORD,1.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,SIN,2.0
British Airways,70,194.80314285714286,8243.159117647057,British Airways,SYD,3.0
Cathay Pacific,115,101.25921739130435,3904.7256880733944,Cathay Pacific,HKG,15.0
Cathay Pacific,115,101.25921739130435,3904.7256880733944,Cathay Pacific,JFK,1.0
Cathay Pacific,115,101.25921739130435,3904.7256880733944,Cathay Pacific,LAX,1.0
Cathay Pacific,115,101.25921739130435,3904.7256880733944,Cathay Pacific,LHR,2.0
Cathay Pacific,115,101.25921739130435,3904.7256880733944,Cathay Pacific,SYD,1.0
Delta Air Lines,496,195.9609677419355,8515.566288209608,Delta Air Lines,AMS,17.0
Delta Air Lines,496,195.9609677419355,8515.566288209608,Delta Air Lines,CDG,16.0
Delta Air Lines,496,195.9609677419355,8515.566288209608,Delta Air Lines,FRA,2.0
Delta Air Lines,496,195.9609677419355,8515.566288209608,Delta Air Lines,JFK,12.0
Delta Air Lines,496,195.9609677419355,8515.566288209608,Delta Air Lines,LAX,12.0
Delta Air Lines,496,195.9609677419355,8515.566288209608,Delta Air Lines,LHR,4.0
Emirates,32,252.176875,10272.950625,Emirates,AMS,1.0
Emirates,32,252.176875,10272.950625,Emirates,BKK,3.0
Emirates,32,252.176875,10272.950625,Emirates,CDG,1.0
Emirates,32,252.176875,10272.950625,Emirates,DXB,14.0
Emirates,32,252.176875,10272.950625,Emirates,FRA,4.0
Emirates,32,252.176875,10272.950625,Emirates,ORD,1.0
Emirates,32,252.176875,10272.950625,Emirates,SIN,3.0
Emirates,32,252.176875,10272.950625,Emirates,SYD,9.0
Etihad Airways,9,248.74555555555557,11010.053333333333,Etihad Airways,AUH,9.0
Etihad Airways,9,248.74555555555557,11010.053333333333,Etihad Airways,BKK,4.0
Etihad Airways,9,248.74555555555557,11010.053333333333,Etihad Airways,CDG,1.0
