icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
39de4f,TVF63XE,France,1774544986.0,1774544986,4.0593,48.6702,9448.8,False,215.57,116.81,0.0,,9372.6,1000,False,0
39de4e,TVF61UE,France,1774544986.0,1774544986,-6.1567,42.3008,11269.98,False,258.88,210.18,0.0,,11536.68,7645,False,0
a5f852,RTY484,United States,1774544986.0,1774544986,-105.0109,40.4483,1539.24,False,42.95,161.13,2.93,,1531.62,,False,0
a58211,N454MF,United States,1774544986.0,1774544986,-87.6084,30.5968,1143.0,False,134.9,239.52,-0.33,,1219.2,0575,False,0
80162a,IGO7212,India,1774544986.0,1774544986,77.1643,13.0699,5791.2,False,130.84,92.93,0.0,,6050.28,,False,0
801638,AXB1053,India,1774544986.0,1774544986,79.8662,27.5373,10972.8,False,200.5,309.9,-0.33,,11369.04,2663,False,0
a84502,N63186,United States,1774544984.0,1774544985,-81.5899,27.184,762.0,False,40.36,168.98,0.98,,830.58,,False,0
a7250f,N56FA,United States,1774544986.0,1774544986,-118.4897,34.1959,396.24,False,39.62,179.26,3.25,,350.52,,False,0
c047c4,CGBEP,Canada,1774544986.0,1774544986,-125.2796,49.9678,137.16,False,49.01,219.04,-3.25,,251.46,,False,0
39de4c,TVF50SV,France,1774544986.0,1774544986,1.6661,48.343,3200.4,False,152.42,39.38,-7.48,,3215.64,2271,False,0
801641,AXB1235,India,1774544986.0,1774544986,75.9867,28.0183,9342.12,False,229.29,186.31,4.23,,9700.26,,False,0
ab6fdd,AAL3128,United States,1774544986.0,1774544986,-104.6192,36.9013,10972.8,False,205.02,246.33,0.33,,11437.62,1102,False,0
801645,AIC1830,India,1774544986.0,1774544986,77.4409,28.4566,1394.46,False,97.61,327.48,-2.6,,1409.7,,False,0
a3b87f,DAL2951,United States,1774544986.0,1774544987,-80.7153,36.7048,9753.6,False,227.37,225.64,0.0,,10081.26,3563,False,0
3ffc0b,DMYIS,Germany,1774544986.0,1774544986,9.8378,52.5577,617.22,False,72.12,132.11,-1.95,,632.46,7000,False,0
39de53,TVF93JE,France,1774544986.0,1774544986,-0.2574,45.5577,11269.98,False,192.16,25.19,-0.33,,11369.04,1000,False,0
a4d86a,LXJ411,United States,1774544986.0,1774544986,-104.1294,36.8734,13098.78,False,209.31,247.91,0.0,,13571.22,3113,False,0
80163d,IGO2309,India,1774544986.0,1774544986,77.3418,28.5645,1211.58,False,95.74,271.85,-7.15,,1211.58,,False,0
aa096a,CXK554,United States,1774544981.0,1774544982,-76.354,36.577,144.78,False,44.73,329.6,3.9,,152.4,,False,0
ab6fea,N836PA,United States,1774544985.0,1774544985,-111.1109,31.869,1310.64,False,19.28,136.08,2.28,,1318.26,,False,0
a41ef1,N365AT,United States,1774544906.0,1774544906,-80.7259,27.1844,845.82,False,79.31,172.92,-0.65,,906.78,,False,0
a5f848,N484JL,United States,1774544985.0,1774544985,-87.4235,36.7882,396.24,False,41.16,341.79,0.98,,388.62,,False,0
a64bb4,N5044D,United States,1774544984.0,1774544985,-121.6875,45.6904,1455.42,False,36.66,265.17,3.25,,1569.72,,False,0
acdfa6,AAL343,United States,1774544987.0,1774544987,-86.2723,20.2239,10972.8,False,220.43,203.81,-0.33,,11468.1,,False,0
ab5cbc,N831GW,United States,1774544986.0,1774544986,-105.5165,39.3303,3886.2,False,111.15,56.9,-0.98,,4000.5,,False,0
a9a0fb,N7198Q,United States,1774544969.0,1774544969,-82.0436,27.6742,754.38,False,46.69,161.37,1.3,,807.72,,False,0
801657,AIC2895,India,1774544986.0,1774544986,76.8982,27.454,7764.78,False,224.12,176.84,10.4,,8084.82,,False,0
a3ebe2,N3517S,United States,1774544986.0,1774544986,-105.1864,40.1755,1676.4,False,39.0,120.96,-3.25,,1684.02,6321,False,0
00b22e,SAA362,South Africa,1774544985.0,1774544987,20.8497,-32.5928,10248.9,False,253.52,47.96,5.2,,10820.4,,False,0
a36898,DAL862,United States,1774544987.0,1774544987,-78.4058,37.1174,10668.0,False,236.77,55.0,0.0,,10972.8,3572,False,0
abacb6,SCX745,United States,1774544986.0,1774544987,-92.8379,44.1357,6499.86,False,228.69,153.55,14.63,,6560.82,,False,0
aaf64b,N805V,United States,1774544986.0,1774544986,-86.1945,36.8006,2567.94,False,81.3,299.16,-0.33,,2644.14,,False,0
ad562a,AVA209,United States,1774544986.0,1774544986,-71.2344,13.9265,10972.8,False,218.22,208.44,0.0,,11620.5,,False,0
a4c558,N4060W,United States,1774544985.0,1774544986,-118.2542,33.7449,144.78,False,32.39,259.94,-4.55,,114.3,,False,0
a72548,N56HH,United States,1774544985.0,1774544986,-97.3485,32.2392,381.0,False,51.56,204.78,-0.98,,373.38,,False,0
80160f,IGO2773,India,1774544986.0,1774544986,77.1696,27.0303,6736.08,False,194.71,357.12,-4.88,,6995.16,,False,0
a5d203,N474X,United States,1774544985.0,1774544985,-108.7964,45.764,4175.76,False,170.39,214.79,14.31,,4168.14,,False,0
a41ecb,N3649R,United States,1774544986.0,1774544986,-122.7138,46.8557,1508.76,False,58.53,190.12,0.0,,1600.2,,False,0
a60561,N4873F,United States,1774544985.0,1774544985,-82.34,27.258,716.28,False,48.46,189.16,-0.98,,762.0,1200,False,0
ad5623,AAL2384,United States,1774544986.0,1774544986,-115.1213,36.0765,,True,3.34,191.25,,,,,False,0
ac231d,FDY393,United States,1774544986.0,1774544986,-78.0847,40.1264,3055.62,False,83.22,346.05,0.0,,3093.72,,False,0
ab0347,N80896,United States,1774544977.0,1774544984,-97.1944,33.3648,792.48,False,45.28,178.7,-0.65,,792.48,,False,0
ad5628,DAL2763,United States,1774544986.0,1774544986,-84.3846,38.2288,7178.04,False,187.77,0.16,-3.58,,7437.12,3340,False,0
801625,AIC2389,India,1774544984.0,1774544984,86.4755,23.0563,11582.4,False,224.16,308.29,0.0,,12077.7,5640,False,0
a22248,N2368P,United States,1774544984.0,1774544984,-80.9102,29.0744,121.92,False,21.84,316.91,0.33,,144.78,,False,0
a89eb9,N65453,United States,1774544986.0,1774544986,-93.2348,45.1593,579.12,False,46.65,221.42,0.98,,563.88,,False,0
a0e250,AAL3145,United States,1774544986.0,1774544987,-80.8543,31.5877,10370.82,False,251.75,207.77,0.33,,10774.68,,False,0
39de48,TVF7998,France,1774544986.0,1774544986,11.9809,40.0385,11292.84,False,249.75,155.28,-0.33,,11155.68,7651,False,0
39de47,TVF23FB,France,1774544986.0,1774544986,-3.0734,42.6157,11285.22,False,243.13,232.91,0.0,,11490.96,7656,False,0
a2ded8,SWA2794,United States,1774544983.0,1774544983,-112.0197,33.4311,342.9,False,44.24,90.0,,,,,False,0
ad694c,SWA1697,United States,1774544986.0,1774544986,-108.8281,37.9992,11582.4,False,203.22,232.4,-0.33,,12016.74,1470,False,0
51113f,NYX807,Estonia,1774544986.0,1774544987,18.37,58.1233,4556.76,False,139.66,356.62,0.0,,4351.02,,False,0
a34215,EDV5178,United States,1774544986.0,1774544986,-86.5567,40.2039,5402.58,False,168.88,332.81,10.4,,5539.74,4023,False,0
39de40,TVF24DY,France,1774544986.0,1774544986,2.3962,48.7261,220.98,False,73.24,75.77,12.35,,297.18,,False,0
a2355d,SKW4177,United States,1774544986.0,1774544986,-97.6168,27.2401,7040.88,False,215.89,192.94,-11.38,,7421.88,4740,False,0
39de42,TVF70KA,France,1774544986.0,1774544986,7.2715,50.055,11894.82,False,221.16,64.81,0.0,,11757.66,1000,False,0
39de44,TVF47ZR,France,1774544986.0,1774544987,2.4063,48.4793,3962.4,False,195.47,213.73,0.0,,3947.16,1000,False,0
80166c,AIC358,India,1774544985.0,1774544985,87.4539,24.8672,11269.98,False,278.69,109.07,0.0,,11727.18,0510,False,0
a4758e,N387CS,United States,1774544986.0,1774544986,-105.2108,39.8052,2278.38,False,72.81,150.36,0.65,,2293.62,0435,False,0
44028c,EJU79ME,Austria,1774544986.0,1774544986,4.797,42.8915,10660.38,False,251.27,229.07,-0.65,,10576.56,4054,False,0
ac498c,FDX5434,United States,1774544986.0,1774544986,-154.9344,61.2704,10363.2,False,252.73,268.13,0.0,,9951.72,1657,False,0
ab0356,ASA10,United States,1774544986.0,1774544986,-99.9536,44.2628,11277.6,False,276.31,99.97,0.0,,11483.34,,False,0
ae1fe4,R72213,United States,1774544720.0,1774544984,-85.8476,30.9168,967.74,False,28.01,134.26,6.83,,,,False,0
511188,MBU8DT,Estonia,1774544986.0,1774544986,6.8597,46.4586,10980.42,False,210.53,49.46,-0.65,,10789.92,1000,False,0
e8023a,ARE4160,Chile,1774544986.0,1774544986,-74.2272,10.9533,990.6,False,97.91,356.69,-4.55,,1059.18,,False,0
511189,CFG433,Estonia,1774544986.0,1774544986,18.5581,46.4879,10972.8,False,245.7,323.51,0.0,,10728.96,2072,False,0
abacd2,UAL1107,United States,1774544987.0,1774544987,-98.0912,30.6247,2842.26,False,148.93,114.71,-4.55,,2979.42,1743,False,0
ae6303,BLZR292,United States,1774544986.0,1774544986,-98.671,27.4301,0.0,False,186.75,274.27,0.0,,960.12,,False,0
ae6304,HAWK293,United States,1774544985.0,1774544985,-98.0406,26.8577,2095.5,False,133.24,205.38,0.0,,2217.42,,False,0
4acb01,NSZ4GY,Sweden,1774544986.0,1774544986,17.402,57.6424,11277.6,False,241.45,12.05,0.0,,10957.56,1000,False,0
ae6301,BLZR290,United States,1774544985.0,1774544986,-98.1254,27.0947,0.0,False,190.2,176.43,-1.63,,960.12,,False,0
4acb03,NSZ4121,Sweden,1774544986.0,1774544987,11.3058,59.8595,2065.02,False,122.55,254.91,-3.9,,1973.58,,False,0
4acb02,NSZ2063,Sweden,1774544986.0,1774544986,15.3113,55.8784,10614.66,False,237.6,76.99,6.83,,10271.76,0232,False,0
a3427c,N309TT,United States,1774544986.0,1774544986,-87.9149,41.5835,1653.54,False,151.68,123.1,6.83,,1615.44,3224,False,0
ad564b,N959CC,United States,1774544986.0,1774544986,-82.2864,31.8138,12496.8,False,184.76,358.4,0.0,,12885.42,1766,False,0
a47597,DAL2041,United States,1774544987.0,1774544987,-122.3161,47.6397,990.6,False,85.93,181.03,-4.88,,1112.52,1372,False,0
adffba,POKEY71,United States,1774544985.0,1774544986,-99.8202,33.6596,4579.62,False,222.89,222.19,0.33,,4815.84,,False,0
4bc8c7,PGT389,Turkey,1774544986.0,1774544987,26.2814,53.6056,10378.44,False,159.6,230.1,0.0,,9418.32,4540,False,0
4bc8c3,PGT505G,Turkey,1774544986.0,1774544986,19.407,45.0114,10668.0,False,227.1,121.1,0.0,,10447.02,7661,False,0
4bc8c1,PGT95XG,Turkey,1774544986.0,1774544987,10.1293,48.0695,10066.02,False,243.05,122.38,0.0,,9799.32,5214,False,0
a7bc8e,EJA598,United States,1774544986.0,1774544986,-78.3234,40.2398,13106.4,False,172.07,273.08,0.0,,13266.42,1676,False,0
a53eb2,N437SC,United States,1774544986.0,1774544986,-97.4434,35.4531,1104.9,False,61.92,236.18,-0.33,,1082.04,,False,0
abf008,SWA1688,United States,1774544986.0,1774544986,-115.2806,36.0875,1958.34,False,123.06,317.37,11.38,,1996.44,5610,False,0
a4d82c,N411DK,United States,1774544970.0,1774544972,-111.7218,33.4667,457.2,False,34.79,231.6,-2.93,,441.96,,False,0
511171,MBU3JE,Estonia,1774544986.0,1774544986,-4.2118,39.2074,10972.8,False,212.08,45.1,0.0,,11201.4,6273,False,0
511172,MBU7NV,Estonia,1774544987.0,1774544987,3.0406,50.5526,11574.78,False,197.97,43.32,-0.33,,11521.44,2260,False,0
80167a,VTVSG,India,1774544986.0,1774544987,73.4061,19.1821,2255.52,False,135.66,240.71,-7.15,,2339.34,,False,0
a5f808,LXJ484,United States,1774544752.0,1774544860,-114.9284,43.4383,6530.34,False,219.84,125.48,-13.66,,6621.78,,False,0
511170,MBU6CQ,Estonia,1774544986.0,1774544986,-2.6807,45.5658,10972.8,False,203.83,36.38,0.0,,11140.44,6257,False,0
3812fa,4Y13176,France,1774544847.0,1774544878,1.3605,43.6164,,True,0.0,2.81,,,,7776,False,0
ad563d,TYSON58,United States,1774544986.0,1774544986,-82.7225,36.1609,11582.4,False,218.32,237.02,0.0,,11940.54,,False,0
aae34c,EJA800,United States,1774544986.0,1774544986,-87.449,41.6133,13106.4,False,208.83,337.86,0.0,,13327.38,2060,False,0
acccb1,,United States,,1774544875,,,,False,43.63,217.82,1.95,,,,False,0
a4d838,DAL83,United States,1774544986.0,1774544986,-82.8881,34.9332,8496.3,False,236.83,224.21,-5.2,,8839.2,0752,False,0
ad4341,N9538E,United States,1774544986.0,1774544986,-77.6563,38.557,1958.34,False,58.58,172.94,-0.98,,1973.58,,False,0
80164e,AIC1724,India,1774544888.0,1774544888,76.3762,10.1502,83.82,False,72.07,87.95,-3.58,,15.24,,False,0
ac234f,UAL2038,United States,1774544986.0,1774544986,-76.9885,39.4749,9235.44,False,225.43,229.26,5.2,,9418.32,1653,False,0
ac101f,SWA2578,United States,1774544982.0,1774544982,-117.1917,32.7307,,True,0.0,16.88,,,,,False,0
80164c,IGO525C,India,1774544986.0,1774544986,73.2219,17.4629,8679.18,False,213.21,163.31,6.18,,9136.38,,False,0
ad5679,DAL3104,United States,1774544986.0,1774544986,-82.7262,27.8713,6096.0,False,220.03,353.56,-0.33,,6370.32,2220,False,0
a35592,JBU163,United States,1774544986.0,1774544987,-73.8793,40.4925,1988.82,False,123.08,234.18,13.33,,1965.96,,False,0
aa091c,N746CX,United States,1774544986.0,1774544986,-96.619,41.3832,2598.42,False,140.06,192.3,10.73,,2606.04,,False,0
471efb,WZZ9FV,Hungary,1774544986.0,1774544986,28.1336,37.2941,10965.18,False,200.6,319.16,0.0,,10988.04,7350,False,0
acdffc,DAL2102,United States,1774544986.0,1774544986,-114.1309,36.2939,10363.2,False,221.54,211.03,0.0,,10797.54,,False,0
a3a538,FFT1757,United States,1774544987.0,1774544987,-92.5112,34.6865,11582.4,False,225.29,247.3,0.0,,12047.22,6257,False,0
ae6321,BLZR270,United States,1774544986.0,1774544986,-98.2204,26.7871,4754.88,False,226.32,237.25,0.65,,5067.3,,False,0
ae6322,BLZR272,United States,1774544986.0,1774544986,-98.6711,27.43,3642.36,False,186.75,274.27,-0.33,,3870.96,,False,0
ae5000,FFAB123,United States,1774544959.0,1774544961,-117.2246,32.5942,114.3,False,44.97,215.69,-4.88,,91.44,,False,0
00b231,SA575,South Africa,1774544986.0,1774544986,28.9255,-27.0145,7185.66,False,231.14,123.65,4.88,,7680.96,,False,0
ad3006,EJA949,United States,1774544986.0,1774544986,-106.0147,38.6345,13106.4,False,186.48,257.57,0.0,,13540.74,6255,False,0
a34268,SKW3792,United States,1774544985.0,1774544986,-92.7325,43.9815,7010.4,False,205.91,153.76,0.33,,7117.08,,False,0
ac368c,N8860W,United States,1774544985.0,1774544985,-88.7127,35.949,1935.48,False,59.59,332.77,-0.33,,2034.54,,False,0
aae377,SKW3590,United States,1774544986.0,1774544986,-83.4241,42.3474,1821.18,False,157.84,25.9,-7.48,,1760.22,1605,False,0
a1abfc,N20693,United States,1774544976.0,1774544976,-88.5175,43.7819,563.88,False,46.04,76.43,-0.65,,480.06,,False,0
ae6316,BLZR250,United States,1774544986.0,1774544986,-98.1057,27.1263,2446.02,False,169.65,56.5,3.9,,2606.04,,False,0
ae6317,HAWK252,United States,1774544986.0,1774544986,-98.2198,27.52,3848.1,False,165.92,133.74,33.49,,4084.32,,False,0
511194,MBU6KR,Estonia,1774544986.0,1774544987,-7.6612,38.9766,10965.18,False,202.92,32.68,-0.33,,11231.88,6240,False,0
ac1042,SWA3953,United States,1774544986.0,1774544987,-81.6003,25.8424,6096.0,False,196.31,347.13,0.0,,6370.32,,False,0
801674,AIC1879,India,1774544985.0,1774544986,77.1107,30.4401,5821.68,False,211.26,117.88,15.93,,6027.42,,False,0
3442c2,ANE59AM,Spain,1774544986.0,1774544986,-2.2172,36.6763,5791.2,False,141.32,202.92,0.0,,5958.84,0274,False,0
51117d,ESCHE,Estonia,1774535027.0,1774544983,23.9605,59.078,3108.96,False,119.87,233.38,10.4,,,6003,False,0
a3b86c,DAL1145,United States,1774544986.0,1774544986,-79.4144,33.9278,5753.1,False,202.61,326.39,11.7,,5928.36,,False,0
a53ee2,UAL509,United States,1774544986.0,1774544986,-93.4907,35.8182,10668.0,False,256.69,130.04,0.0,,11125.2,3730,False,0
a4c527,RPA4373,United States,1774544986.0,1774544986,-90.0519,35.7897,7299.96,False,192.81,348.3,6.83,,7642.86,,False,0
0d11c0,MXA1732,Mexico,1774544986.0,1774544986,-98.6726,19.7875,4160.52,False,157.23,99.99,0.98,,4373.88,,False,0
3455da,VOE5CN,Spain,1774544980.0,1774544986,7.4763,43.589,1013.46,False,90.32,304.32,0.0,,967.74,,False,0
adda1e,AAL3310,United States,1774544986.0,1774544986,-95.0324,35.3109,11277.6,False,224.65,38.02,0.0,,11742.42,2245,False,0
