icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,mapped_airline
80162a,IGO7212,India,1774544986.0,1774544986,77.1643,13.0699,5791.2,False,130.84,92.93,0.0,,6050.28,,False,0,IndiGo
ab6fdd,AAL3128,United States,1774544986.0,1774544986,-104.6192,36.9013,10972.8,False,205.02,246.33,0.33,,11437.62,1102.0,False,0,American Airlines
801645,AIC1830,India,1774544986.0,1774544986,77.4409,28.4566,1394.46,False,97.61,327.48,-2.6,,1409.7,,False,0,Air India
a3b87f,DAL2951,United States,1774544986.0,1774544987,-80.7153,36.7048,9753.6,False,227.37,225.64,0.0,,10081.26,3563.0,False,0,Delta Air Lines
80163d,IGO2309,India,1774544986.0,1774544986,77.3418,28.5645,1211.58,False,95.74,271.85,-7.15,,1211.58,,False,0,IndiGo
aa096a,CXK554,United States,1774544981.0,1774544982,-76.354,36.577,144.78,False,44.73,329.6,3.9,,152.4,,False,0,Cathay Pacific
acdfa6,AAL343,United States,1774544987.0,1774544987,-86.2723,20.2239,10972.8,False,220.43,203.81,-0.33,,11468.1,,False,0,American Airlines
801657,AIC2895,India,1774544986.0,1774544986,76.8982,27.454,7764.78,False,224.12,176.84,10.4,,8084.82,,False,0,Air India
a36898,DAL862,United States,1774544987.0,1774544987,-78.4058,37.1174,10668.0,False,236.77,55.0,0.0,,10972.8,3572.0,False,0,Delta Air Lines
80160f,IGO2773,India,1774544986.0,1774544986,77.1696,27.0303,6736.08,False,194.71,357.12,-4.88,,6995.16,,False,0,IndiGo
ad5623,AAL2384,United States,1774544986.0,1774544986,-115.1213,36.0765,,True,3.34,191.25,,,,,False,0,American Airlines
ad5628,DAL2763,United States,1774544986.0,1774544986,-84.3846,38.2288,7178.04,False,187.77,0.16,-3.58,,7437.12,3340.0,False,0,Delta Air Lines
801625,AIC2389,India,1774544984.0,1774544984,86.4755,23.0563,11582.4,False,224.16,308.29,0.0,,12077.7,5640.0,False,0,Air India
a0e250,AAL3145,United States,1774544986.0,1774544987,-80.8543,31.5877,10370.82,False,251.75,207.77,0.33,,10774.68,,False,0,American Airlines
80166c,AIC358,India,1774544985.0,1774544985,87.4539,24.8672,11269.98,False,278.69,109.07,0.0,,11727.18,510.0,False,0,Air India
abacd2,UAL1107,United States,1774544987.0,1774544987,-98.0912,30.6247,2842.26,False,148.93,114.71,-4.55,,2979.42,1743.0,False,0,United Airlines
a47597,DAL2041,United States,1774544987.0,1774544987,-122.3161,47.6397,990.6,False,85.93,181.03,-4.88,,1112.52,1372.0,False,0,Delta Air Lines
a4d838,DAL83,United States,1774544986.0,1774544986,-82.8881,34.9332,8496.3,False,236.83,224.21,-5.2,,8839.2,752.0,False,0,Delta Air Lines
80164e,AIC1724,India,1774544888.0,1774544888,76.3762,10.1502,83.82,False,72.07,87.95,-3.58,,15.24,,False,0,Air India
ac234f,UAL2038,United States,1774544986.0,1774544986,-76.9885,39.4749,9235.44,False,225.43,229.26,5.2,,9418.32,1653.0,False,0,United Airlines
80164c,IGO525C,India,1774544986.0,1774544986,73.2219,17.4629,8679.18,False,213.21,163.31,6.18,,9136.38,,False,0,IndiGo
ad5679,DAL3104,United States,1774544986.0,1774544986,-82.7262,27.8713,6096.0,False,220.03,353.56,-0.33,,6370.32,2220.0,False,0,Delta Air Lines
acdffc,DAL2102,United States,1774544986.0,1774544986,-114.1309,36.2939,10363.2,False,221.54,211.03,0.0,,10797.54,,False,0,Delta Air Lines
801674,AIC1879,India,1774544985.0,1774544986,77.1107,30.4401,5821.68,False,211.26,117.88,15.93,,6027.42,,False,0,Air India
a3b86c,DAL1145,United States,1774544986.0,1774544986,-79.4144,33.9278,5753.1,False,202.61,326.39,11.7,,5928.36,,False,0,Delta Air Lines
a53ee2,UAL509,United States,1774544986.0,1774544986,-93.4907,35.8182,10668.0,False,256.69,130.04,0.0,,11125.2,3730.0,False,0,United Airlines
adda1e,AAL3310,United States,1774544986.0,1774544986,-95.0324,35.3109,11277.6,False,224.65,38.02,0.0,,11742.42,2245.0,False,0,American Airlines
a127d3,CXK168,United States,1774544986.0,1774544986,-111.6657,40.2153,2225.04,False,43.01,323.27,0.98,,2293.62,,False,0,Cathay Pacific
a6f23d,DAL791,United States,1774544984.0,1774544984,-112.01,33.4325,,True,4.63,340.31,,,,,False,0,Delta Air Lines
ad41ed,AAL2408,United States,1774544986.0,1774544986,-93.2247,39.4188,10363.2,False,206.26,256.59,0.0,,10706.1,2314.0,False,0,American Airlines
a5d28c,UAL2135,United States,1774544986.0,1774544986,-96.1695,30.9555,8168.64,False,225.25,150.74,-10.08,,8618.22,1630.0,False,0,United Airlines
a091d5,DAL2099,United States,1774544986.0,1774544986,-83.6886,36.3168,10972.8,False,222.1,237.97,0.0,,11353.8,1163.0,False,0,Delta Air Lines
8851e2,THA331,Thailand,1774544985.0,1774544985,99.4374,14.4125,8801.1,False,245.22,299.95,6.83,,9304.02,,False,0,Thai Airways
a1ad44,AAY1602,United States,1774544986.0,1774544986,-118.6791,34.6423,8991.6,False,243.81,343.32,5.53,,9395.46,,False,0,American Airlines
47b0e7,IGO53M,Norway,1774544986.0,1774544987,9.5891,43.0046,11582.4,False,249.62,291.65,-0.33,,11391.9,4034.0,False,0,IndiGo
aa07f9,UAL371,United States,1774544985.0,1774544986,-102.1316,38.846,10363.2,False,203.24,268.98,0.0,,10789.92,7462.0,False,0,United Airlines
a3ed69,DAL1281,United States,1774544986.0,1774544986,-83.5268,32.9579,5646.42,False,159.25,5.75,-14.31,,5913.12,6660.0,False,0,Delta Air Lines
885226,THA935,Thailand,1774544985.0,1774544986,47.3351,40.8607,11887.2,False,261.39,96.33,-0.33,,11910.06,116.0,False,0,Thai Airways
8014b2,IGO774P,India,1774544986.0,1774544986,77.2076,28.5678,716.28,False,75.14,271.57,-3.58,,678.18,2662.0,False,0,IndiGo
a0f4f6,DAL501,United States,1774544985.0,1774544986,-107.9716,32.3664,11399.52,False,232.84,286.03,-4.88,,11925.3,1135.0,False,0,Delta Air Lines
a3ed7c,DAL2655,United States,1774544986.0,1774544986,-72.3276,42.6474,6438.9,False,237.4,99.61,-10.73,,6469.38,3660.0,False,0,Delta Air Lines
ab14d9,DAL1447,United States,1774544987.0,1774544987,-112.0278,34.9212,8930.64,False,238.19,354.67,6.18,,9349.74,,False,0,Delta Air Lines
a5d1a0,CXK121,United States,1774544986.0,1774544986,-72.6335,41.6756,457.2,False,48.13,349.53,-3.58,,403.86,,False,0,Cathay Pacific
aaf4c8,DAL2474,United States,1774544985.0,1774544986,-82.5556,30.6399,10058.4,False,226.9,359.09,0.0,,10462.26,2042.0,False,0,Delta Air Lines
a40d8d,DAL2392,United States,1774544986.0,1774544987,-84.0451,34.984,10668.0,False,243.38,156.85,0.0,,11071.86,3663.0,False,0,Delta Air Lines
8014c0,IGO6506,India,1774544986.0,1774544986,76.9086,28.899,10797.54,False,243.57,34.33,-4.88,,11163.3,,False,0,IndiGo
8014c4,AIC2727,India,1774544986.0,1774544986,77.54,27.9911,7033.26,False,214.75,111.65,9.1,,7292.34,,False,0,Air India
a2ba4f,AAY2217,United States,1774544986.0,1774544986,-84.4823,33.8738,10668.0,False,239.88,171.37,0.0,,11064.24,3410.0,False,0,American Airlines
a4d7e4,AAL1966,United States,1774544985.0,1774544986,-115.735,34.1597,9486.9,False,223.27,263.25,-4.55,,9928.86,,False,0,American Airlines
8014ce,IGO524H,India,1774544986.0,1774544986,77.3564,11.6282,7932.42,False,204.78,211.33,-0.65,,8343.9,,False,0,IndiGo
a03ce6,AAL766,United States,1774544983.0,1774544986,-111.9964,33.4375,,True,0.0,270.0,,,,,False,0,American Airlines
a35605,DAL334,United States,1774544985.0,1774544986,-114.7726,36.0735,2308.86,False,119.89,271.23,-4.88,,2392.68,,False,0,Delta Air Lines
a16ff1,DAL125,United States,1774544981.0,1774544984,-58.7026,44.1106,10972.8,False,202.34,267.67,0.33,,10805.16,7260.0,False,0,Delta Air Lines
a5d1b9,UAL1239,United States,1774544986.0,1774544986,-85.5317,40.2091,7726.68,False,207.29,340.58,-4.55,,7940.04,6756.0,False,0,United Airlines
a3696e,DAL1517,United States,1774544899.0,1774544911,-118.4026,33.9473,,True,0.0,354.38,,,,,False,0,Delta Air Lines
801600,AIC105,India,1774544985.0,1774544985,-74.1693,40.6854,,True,28.81,205.31,,,,772.0,False,0,Air India
a40ca4,DAL592,United States,1774544986.0,1774544986,-84.4057,33.6468,,True,2.83,351.56,,,,,False,0,Delta Air Lines
801603,AIC2876,India,1774544968.0,1774544968,72.8574,19.0903,,True,7.72,90.0,,,,,False,0,Air India
801612,AIC538,India,1774544985.0,1774544985,77.0779,28.5498,,True,2.57,312.19,,,,,False,0,Air India
a977bb,DAL1857,United States,1774544986.0,1774544986,-117.4345,33.8194,2453.64,False,137.35,260.08,-3.9,,2529.84,1714.0,False,0,Delta Air Lines
a3560b,DAL1015,United States,1774544986.0,1774544986,-122.3174,47.5092,236.22,False,72.03,180.82,-4.88,,381.0,541.0,False,0,Delta Air Lines
801768,IGO477,India,1774544928.0,1774544928,76.9354,24.7701,11277.6,False,249.61,178.35,0.0,,11772.9,,False,0,IndiGo
a2dffe,UAL1265,United States,1774544985.0,1774544985,-89.1028,22.797,10363.2,False,237.77,338.15,0.0,,10835.64,,False,0,United Airlines
a64ce6,DAL2031,United States,1774544986.0,1774544986,-95.2701,31.2366,10370.82,False,229.57,289.37,0.0,,10881.36,6234.0,False,0,Delta Air Lines
49f13a,SQB02ERA,Czech Republic,1774544909.0,1774544909,-7.9733,37.0202,,True,5.4,345.94,,,,,False,0,Singapore Airlines
801741,IGO6367,India,1774544986.0,1774544986,79.5714,27.745,10378.44,False,200.47,303.49,0.0,,10767.06,,False,0,IndiGo
801745,IGO2079,India,1774544986.0,1774544986,78.9049,28.0426,9372.6,False,190.75,300.65,-5.53,,9738.36,2666.0,False,0,IndiGo
ad574f,AAL1670,United States,1774544986.0,1774544986,-99.5503,33.4723,10972.8,False,213.6,288.39,0.0,,11483.34,723.0,False,0,American Airlines
801748,IGO867W,India,1774544986.0,1774544986,76.9441,28.7536,3657.6,False,155.95,83.18,0.33,,3787.14,,False,0,IndiGo
a46310,DAL1471,United States,1774544987.0,1774544987,-75.6428,37.9917,10668.0,False,222.01,33.47,0.0,,10904.22,2740.0,False,0,Delta Air Lines
801755,IGO7216,India,1774544984.0,1774544984,88.1859,22.8145,2529.84,False,142.97,65.56,-7.8,,2567.94,1447.0,False,0,IndiGo
8852e1,THA656,Thailand,1774544986.0,1774544986,101.0534,13.6984,3307.08,False,174.65,60.34,3.9,,3474.72,,False,0,Thai Airways
801754,IGO7117,India,1774544971.0,1774544975,86.3971,20.4419,3253.74,False,107.21,58.14,3.58,,3352.8,1447.0,False,0,IndiGo
aae465,AAL1981,United States,1774544986.0,1774544986,-80.8422,28.6275,10972.8,False,248.58,161.42,0.0,,11414.76,7150.0,False,0,American Airlines
a5f938,UAL2367,United States,1774544986.0,1774544986,-123.1133,43.8663,10058.4,False,215.61,178.63,0.0,,10172.7,,False,0,United Airlines
3c4b33,DLH717,Germany,1774544986.0,1774544986,6.0259,55.4614,10363.2,False,300.69,177.65,0.33,,10165.08,730.0,False,0,Lufthansa
407b8e,BAW9MS,United Kingdom,1774544986.0,1774544986,3.0952,52.379,6172.2,False,178.86,74.48,-8.78,,6126.48,6257.0,False,0,British Airways
a45051,DAL678,United States,1774544986.0,1774544986,-93.96,40.1581,10972.8,False,192.3,280.95,0.0,,11315.7,4410.0,False,0,Delta Air Lines
3c4b28,DLH462,Germany,1774544986.0,1774544986,-70.3864,43.0959,10972.8,False,245.6,216.65,0.33,,10881.36,1517.0,False,0,Lufthansa
ab4af1,AAL3066,United States,1774544986.0,1774544987,-82.0847,30.9034,10980.42,False,240.84,181.47,0.0,,11407.14,6562.0,False,0,American Airlines
3c4b2e,DLH716,Germany,1774544986.0,1774544986,46.0901,40.8297,10058.4,False,270.74,82.69,-0.65,,10096.5,6425.0,False,0,Lufthansa
a3a647,AAL2294,United States,1774544979.0,1774544979,-111.9978,33.4388,,True,4.12,165.94,,,,,False,0,American Airlines
a61949,UAL1003,United States,1774544986.0,1774544986,-91.9092,37.5579,10668.0,False,254.66,107.15,0.0,,11071.86,3527.0,False,0,United Airlines
ab048d,DAL229,United States,1774544974.0,1774544984,-75.0355,49.014,11582.4,False,218.23,219.36,0.0,,11155.68,,False,0,Delta Air Lines
801788,IGO32E,India,1774544986.0,1774544986,71.4811,19.0018,8001.0,False,229.25,94.89,-9.1,,8412.48,,False,0,IndiGo
a9b4de,UAL1380,United States,1774544985.0,1774544986,-108.9348,32.1366,10431.78,False,221.99,277.32,-4.88,,10957.56,7321.0,False,0,United Airlines
a3fffc,DAL1367,United States,1774544977.0,1774544978,-118.1326,39.7499,10675.62,False,263.09,67.95,0.0,,10995.66,,False,0,Delta Air Lines
800463,AIC189,India,1774544986.0,1774544986,16.6457,47.8875,1135.38,False,74.38,12.79,-1.95,,1097.28,5517.0,False,0,Air India
a3a65f,AAL1686,United States,1774544985.0,1774544985,-113.0444,34.3348,11277.6,False,241.79,89.76,0.0,,11765.28,7357.0,False,0,American Airlines
801792,IGO703J,India,1774544818.0,1774544818,77.1161,28.5656,,True,0.51,191.25,,,,,False,0,IndiGo
a45091,DAL2411,United States,1774544986.0,1774544986,-86.9678,32.0464,11277.6,False,235.98,54.4,0.0,,11719.56,,False,0,Delta Air Lines
3c5db0,KLM79J,Germany,1774544986.0,1774544986,7.2023,48.3461,4518.66,False,162.09,155.63,-12.03,,4427.22,1000.0,False,0,KLM
a3b8e1,AAL456,United States,1774544951.0,1774544980,-111.9983,33.4385,,True,0.0,0.0,,,,,False,0,American Airlines
8016a3,IGO1641,India,1774544947.0,1774544947,91.9323,18.9662,10668.0,False,239.94,126.89,0.33,,11254.74,434.0,False,0,IndiGo
a7133f,DAL1576,United States,1774544986.0,1774544986,-84.3131,33.1189,6339.84,False,235.0,135.35,10.08,,6614.16,2046.0,False,0,Delta Air Lines
8016a6,AIC2904,India,1774544985.0,1774544986,77.1436,27.5315,4869.18,False,197.76,357.32,-5.85,,5067.3,,False,0,Air India
a26b51,AAY3891,United States,1774544987.0,1774544987,-112.4492,39.7342,5128.26,False,174.42,25.51,-8.45,,5349.24,,False,0,American Airlines
76b865,TGW394,Singapore,1774544910.0,1774544944,120.5798,15.2297,312.42,False,79.48,201.25,-3.9,,350.52,,False,0,Thai Airways
8016b9,IGO6577,India,1774544986.0,1774544986,77.1858,26.0642,8534.4,False,238.83,18.98,0.0,,8900.16,,False,0,IndiGo
